number,value,datetime_start,datetime_complete,duration,params_background_amplitude_fraction,params_background_center,params_background_offset,params_background_width,params_peak_1_amplitude_fraction,params_peak_1_center,params_peak_1_sigma,params_peak_2_amplitude_fraction,params_peak_2_center,params_peak_2_sigma,system_attrs_fixed_params,state
1805,0.6798501076953353,2026-07-17 16:29:43.575444,2026-07-17 16:29:43.610949,0 days 00:00:00.035505,0.7356497133841307,781.0925681019347,-14.66602077648605,0.1229980120677674,0.7451257078403383,781.5103460487552,0.17738519011423826,0.10584620227558805,782.0528730869821,0.5351580270384018,,COMPLETE
1806,0.14096575337712616,2026-07-17 16:29:43.611948,2026-07-17 16:29:43.644439,0 days 00:00:00.032491,0.09860168459898633,783.6682458454856,-120.66120507103938,7.312080137074016,0.7648989821162909,779.466343196056,1.37950044679685,0.23836904144877016,776.2920446107606,1.9065507563581185,,COMPLETE
1807,0.5873290834013939,2026-07-17 16:29:43.644439,2026-07-17 16:29:43.677188,0 days 00:00:00.032749,-0.9674117570736738,783.458698080366,973.2552812453196,0.3498797334357411,0.2921995027383293,782.8568212592667,0.8498516507460272,0.12138108405959847,782.5036313383171,1.5781304892168038,,COMPLETE
1808,0.15660314436770204,2026-07-17 16:29:43.677188,2026-07-17 16:29:43.715273,0 days 00:00:00.038085,-0.18425038132767455,783.4596986061954,4.114591429979669,6.729736792993655,0.7905111353366275,780.1450505675233,1.0989588302724298,0.348365908706726,779.0631200173423,2.432513466928272,,COMPLETE
1809,0.07771546978579875,2026-07-17 16:29:43.715273,2026-07-17 16:29:43.747635,0 days 00:00:00.032362,0.3820332197346364,782.2157587681163,-266.0101906793373,3.969141873616012,0.7623526616496484,779.5027270392815,1.3503128698798472,0.1610367149558353,779.2412670863436,1.4767759171049215,,COMPLETE
1810,1.0658670087132334,2026-07-17 16:29:43.747635,2026-07-17 16:29:43.790936,0 days 00:00:00.043301,-0.6875542289155281,782.7431219169215,1229.5719416541651,0.28572637352942964,0.5375979024592111,779.8183980691389,2.5326647342345336,0.21605304668419634,779.5234780735834,2.7755883606357363,,COMPLETE
1811,0.7717323543809862,2026-07-17 16:29:43.790936,2026-07-17 16:29:43.827078,0 days 00:00:00.036142,0.22336208501870305,781.8979390659728,1029.0348931606482,0.17101369169365752,0.34179807088282976,780.6258202581846,0.24725597879925876,0.6867831392018278,777.8567559531899,0.5174715282839442,,COMPLETE
1812,0.44497442487678446,2026-07-17 16:29:43.827078,2026-07-17 16:29:43.858174,0 days 00:00:00.031096,-0.29129495361549923,777.8487317317002,386.48642937962035,0.5123568270290579,1.2084714634545932,782.9762639264065,0.2024776848081855,0.3981738428590893,779.7755690633454,2.9800524730009768,,COMPLETE
1813,0.16137099653635326,2026-07-17 16:29:43.858174,2026-07-17 16:29:43.892172,0 days 00:00:00.033998,-0.01225986896057088,782.8715603706637,-128.19249384185136,1.2895429559979505,0.8230869500216602,780.1324268293185,1.0223260838746622,0.35575178634994126,779.352943485508,2.503044392500899,,COMPLETE
1814,0.28167740529324137,2026-07-17 16:29:43.892172,2026-07-17 16:29:43.924626,0 days 00:00:00.032454,0.7884348420435652,782.5426922176604,-202.72679576351436,1.8032919959765945,0.3658981902114556,780.1472092545483,1.27676211930697,0.3285778793894136,779.8263194282501,1.6330501923303302,,COMPLETE
1815,0.8913997450169229,2026-07-17 16:29:43.924626,2026-07-17 16:29:43.969620,0 days 00:00:00.044994,-1.3359947669219499,778.6894888769722,103.16966515296298,0.5212292640520778,1.0887423530816018,782.7661106483358,0.45653892439075294,0.9531543369402662,777.7544764605443,2.898976791014596,,COMPLETE
1816,0.18015546035356778,2026-07-17 16:29:43.969620,2026-07-17 16:29:43.992833,0 days 00:00:00.023213,-0.2852792310872221,779.2180492672397,-12.908677788689388,3.6279939481621994,0.41436909382408427,779.3202404271833,1.4811400177368768,0.7602998373403459,779.5795464113558,2.126403466510754,,COMPLETE
1817,0.12582859301999794,2026-07-17 16:29:43.992833,2026-07-17 16:29:44.022007,0 days 00:00:00.029174,0.46705168661310087,782.5067831292466,-257.09208972874296,2.41420312622784,0.9267815386146435,779.7591738990928,1.0659698776899105,0.3575768860678731,777.8085918895291,2.9874722624748933,,COMPLETE
1818,0.2094317985364174,2026-07-17 16:29:44.022007,2026-07-17 16:29:44.057599,0 days 00:00:00.035592,-0.05966012955420516,782.8963834087928,-146.23131441106435,1.507705100699176,0.726025088589114,779.3380371381934,1.0779123937757746,0.5628132132450054,782.3106029712127,2.079854070803271,,COMPLETE
1819,0.2773292792638344,2026-07-17 16:29:44.057599,2026-07-17 16:29:44.094009,0 days 00:00:00.036410,0.6742758903478394,780.9497909860595,-250.9201178927561,5.268828978151343,0.8813482983163871,780.1415344532926,1.5971826709256365,0.18383103082222002,779.4288866622269,0.24856581985911497,,COMPLETE
1820,0.07301309589447949,2026-07-17 16:29:44.094009,2026-07-17 16:29:44.124636,0 days 00:00:00.030627,0.03557449702824937,782.869672072378,-176.74876085210073,4.539377317488358,1.0141987306890947,779.6193374906788,1.4570902576060538,0.049360232521758904,778.4866583301322,2.770868569342122,,COMPLETE
1821,0.34767504413175965,2026-07-17 16:29:44.124636,2026-07-17 16:29:44.157125,0 days 00:00:00.032489,-0.03857916188435201,780.3250647257294,-195.70106326885255,0.7334215242314076,0.8541822654829796,780.4700582538583,0.3586751918603267,0.5341364918627145,777.0902834481263,2.7542947436993104,,COMPLETE
1822,0.3644473270392718,2026-07-17 16:29:44.157125,2026-07-17 16:29:44.194625,0 days 00:00:00.037500,0.06705801537771336,783.7027225876166,-204.7889093146551,3.6360857406688503,0.6816976286663093,781.323206087429,0.5023232384214857,0.4004102130946451,778.6887339693797,2.9350044463892875,,COMPLETE
1823,0.1568497938733144,2026-07-17 16:29:44.194625,2026-07-17 16:29:44.224101,0 days 00:00:00.029476,0.2853673493466134,783.126200712989,-226.42269925659224,1.319091275668579,1.2400136987645227,779.5912497260501,0.7918708242497728,0.2351469855561713,776.9659238805802,2.2465346259015524,,COMPLETE
1824,0.35244211799682695,2026-07-17 16:29:44.224101,2026-07-17 16:29:44.262421,0 days 00:00:00.038320,-0.009686561753477568,781.7769218153222,-193.95758991394257,4.685398849139811,0.9714277808366427,778.2663915230992,1.5000683317122632,0.1407734734078119,778.4213042475088,2.696946363919139,,COMPLETE
1825,1.3814646784437958,2026-07-17 16:29:44.262421,2026-07-17 16:29:44.306480,0 days 00:00:00.044059,-1.2998968285719017,776.3456144256769,-248.6600485383217,0.11533312832295757,1.4672307161983322,782.8804723523849,1.1371990205328997,1.086305785805909,776.3244918102489,1.449712572357672,,COMPLETE
1826,0.76187189169628,2026-07-17 16:29:44.306480,2026-07-17 16:29:44.321984,0 days 00:00:00.015504,1.0563983365783396,781.4874930193668,-83.55520500147395,5.199668522235308,0.3896884695190985,783.1464887657842,2.461292407526333,1.199671955445697,778.1500497907773,1.3714218963480527,,COMPLETE
1827,0.6780366090760084,2026-07-17 16:29:44.321984,2026-07-17 16:29:44.361089,0 days 00:00:00.039105,0.5396652118521528,781.7690875321678,126.99118749018822,2.2790774424920035,0.8066430433028742,780.9354638849375,1.4949885762840038,0.5260474112238603,777.4974049728557,2.9210861723423687,,COMPLETE
1828,1000.0111485279483,2026-07-17 16:29:44.361089,2026-07-17 16:29:44.395835,0 days 00:00:00.034746,0.5564565190032518,781.4877218074278,-257.0235265836323,2.2988479924105936,0.6898034185928213,779.3330527504869,1.9395980681704408,0.3057486353372507,779.3449793796951,1.558621789685409,,COMPLETE
1829,1000.009579169975,2026-07-17 16:29:44.395835,2026-07-17 16:29:44.425012,0 days 00:00:00.029177,0.21695399798456533,783.62339066078,1068.401029665496,6.385790271346862,0.8640514903496657,777.9694461590645,0.45025184924144157,1.354837276871468,777.9451216018675,2.4038594922913394,,COMPLETE
