binding_energy_eV,intensity,background,co2_peak,co3_peak,fitted
7.850950000000000273e+02,2.255900000000000105e+01,3.117722308170727175e+01,1.823109375144653680e-03,8.556376491991875277e-03,3.118760256757440885e+01
7.851950000000000500e+02,2.732100000000000151e+01,3.522836034119301019e+01,1.123119131362930847e-03,4.714670606935472165e-03,3.523419813093131125e+01
7.852949999999999591e+02,3.195220000000000127e+01,3.895267126886404441e+01,6.859808085428331518e-04,2.551564370528884573e-03,3.895590881404311290e+01
7.853949999999999818e+02,3.623539999999999850e+01,4.224036655792151151e+01,4.154044516054076607e-04,1.356298887479262527e-03,4.224213826126059956e+01
7.854950000000000045e+02,4.003130000000000166e+01,4.504181239770891665e+01,2.494039725002397180e-04,7.081055284053153773e-04,4.504276990720982354e+01
7.855950000000000273e+02,4.326720000000000255e+01,4.735774919342545530e+01,1.484597164946540085e-04,3.631067044017699617e-04,4.735826075984634542e+01
7.856950000000000500e+02,4.592600000000000193e+01,4.922312252210890193e+01,8.761670708544170758e-05,1.828791749221496496e-04,4.922339301799090805e+01
7.857949999999999591e+02,4.801970000000000027e+01,5.068852251004973652e+01,5.126704278795306036e-05,9.046653213137105553e-05,5.068866424362465040e+01
7.858949999999999818e+02,4.959740000000000038e+01,5.181091460138583216e+01,2.974148483951052829e-05,4.395470149097751542e-05,5.181098829757215896e+01
7.859950000000000045e+02,5.075690000000000168e+01,5.265238849100332885e+01,1.710645686193729080e-05,2.097569842461420220e-05,5.265242657315861408e+01
7.860950000000000273e+02,5.165679999999999694e+01,5.328638382211126157e+01,9.755073055056315176e-06,9.831532720621133408e-06,5.328640340871703529e+01
7.861950000000000500e+02,5.250650000000000261e+01,5.380407262237508803e+01,5.515362038670737753e-06,4.526053994705564405e-06,5.380408266379112092e+01
7.862949999999999591e+02,5.353410000000000224e+01,5.431525058427421015e+01,3.091651727046111512e-06,2.046500879281504757e-06,5.431525572242681932e+01
7.863949999999999818e+02,5.495879999999999654e+01,5.494643282677967733e+01,1.718225437104834693e-06,9.088617863823468281e-07,5.494643545386689709e+01
7.864950000000000045e+02,5.694760000000000133e+01,5.582733968265404201e+01,9.467662397558039146e-07,3.964399885133256609e-07,5.582734102586027092e+01
7.865950000000000273e+02,5.959570000000000078e+01,5.707697922282535785e+01,5.172237065395205131e-07,1.698442189771590112e-07,5.707697990989328218e+01
7.866950000000000500e+02,6.294879999999999853e+01,5.880228464301402624e+01,2.801477385467026233e-07,7.146901339526564556e-08,5.880228499463077441e+01
7.867949999999999591e+02,6.701810000000000400e+01,6.109594084790667523e+01,1.504419173363261129e-07,2.953782462322601717e-08,6.109594102788641834e+01
7.868949999999999818e+02,7.176839999999999975e+01,6.402229692330433863e+01,8.009836262561866377e-08,1.199037957204983551e-08,6.402229701539307882e+01
7.869950000000000045e+02,7.711069999999999425e+01,6.760298985874636912e+01,4.228160422924182455e-08,4.780585155460427710e-09,6.760298990580855616e+01
7.870950000000000273e+02,8.288280000000000314e+01,7.179441184520887020e+01,2.212851728196518871e-08,1.872073470415590924e-09,7.179441186920945484e+01
7.871950000000000500e+02,8.880140000000000100e+01,7.644471841476641316e+01,1.148222924119874134e-08,7.200429826824374001e-10,7.644471842696869146e+01
7.872949999999999591e+02,9.449490000000000123e+01,8.129713190962296210e+01,5.907084063194547256e-09,2.720117464377975782e-10,8.129713191580205489e+01
7.873949999999999818e+02,9.956449999999999534e+01,8.602299726347897035e+01,3.012958357256186115e-09,1.009277516302687892e-10,8.602299726659285284e+01
7.874950000000000045e+02,1.036620000000000061e+02,9.028147780239777376e+01,1.523653266388826708e-09,3.678131410904137536e-11,9.028147780395821087e+01
7.875950000000000273e+02,1.065610000000000070e+02,9.378920233791723149e+01,7.639276065797073986e-10,1.316550697731199726e-11,9.378920233869432366e+01
7.876950000000000500e+02,1.082199999999999989e+02,9.639369311452416866e+01,3.797443336423672792e-10,4.628514587630493656e-12,9.639369311490854386e+01
7.877949999999999591e+02,1.087129999999999939e+02,9.804607676187683296e+01,1.871558642661361533e-10,1.598230407759944072e-12,9.804607676206558153e+01
7.878949999999999818e+02,1.081730000000000018e+02,9.876894154864321251e+01,9.145103331051377923e-11,5.420393862244484492e-13,9.876894154873519938e+01
