frame_index,frame_label,previous_frame_label,coordination_event_count,formed_count,broken_count,pair
1530,set_000__step_00076550,set_000__step_00076500,59,31,28,O-Zn
1531,set_000__step_00076600,set_000__step_00076550,57,31,26,O-Zn
1532,set_000__step_00076650,set_000__step_00076600,48,20,28,O-Zn
1533,set_000__step_00076700,set_000__step_00076650,48,27,21,O-Zn
1534,set_000__step_00076750,set_000__step_00076700,40,20,20,O-Zn
1535,set_000__step_00076800,set_000__step_00076750,47,22,25,O-Zn
1536,set_000__step_00076850,set_000__step_00076800,41,27,14,O-Zn
1537,set_000__step_00076900,set_000__step_00076850,47,20,27,O-Zn
1538,set_000__step_00076950,set_000__step_00076900,41,20,21,O-Zn
1539,set_000__step_00077000,set_000__step_00076950,48,20,28,O-Zn
1540,set_000__step_00077050,set_000__step_00077000,52,26,26,O-Zn
1541,set_000__step_00077100,set_000__step_00077050,50,24,26,O-Zn
1542,set_000__step_00077150,set_000__step_00077100,53,31,22,O-Zn
1543,set_000__step_00077200,set_000__step_00077150,50,24,26,O-Zn
1544,set_000__step_00077250,set_000__step_00077200,48,27,21,O-Zn
1545,set_000__step_00077300,set_000__step_00077250,53,25,28,O-Zn
1546,set_000__step_00077350,set_000__step_00077300,42,21,21,O-Zn
1547,set_000__step_00077400,set_000__step_00077350,33,18,15,O-Zn
1548,set_000__step_00077450,set_000__step_00077400,56,21,35,O-Zn
1549,set_000__step_00077500,set_000__step_00077450,59,32,27,O-Zn
1550,set_000__step_00077550,set_000__step_00077500,57,31,26,O-Zn
1551,set_000__step_00077600,set_000__step_00077550,47,26,21,O-Zn
1552,set_000__step_00077650,set_000__step_00077600,39,18,21,O-Zn
1553,set_000__step_00077700,set_000__step_00077650,57,25,32,O-Zn
1554,set_000__step_00077750,set_000__step_00077700,40,22,18,O-Zn
1555,set_000__step_00077800,set_000__step_00077750,54,26,28,O-Zn
1556,set_000__step_00077850,set_000__step_00077800,54,29,25,O-Zn
1557,set_000__step_00077900,set_000__step_00077850,52,25,27,O-Zn
1558,set_000__step_00077950,set_000__step_00077900,44,24,20,O-Zn
1559,set_000__step_00078000,set_000__step_00077950,39,22,17,O-Zn
1560,set_000__step_00078050,set_000__step_00078000,39,19,20,O-Zn
1561,set_000__step_00078100,set_000__step_00078050,42,18,24,O-Zn
1562,set_000__step_00078150,set_000__step_00078100,52,22,30,O-Zn
1563,set_000__step_00078200,set_000__step_00078150,57,29,28,O-Zn
1564,set_000__step_00078250,set_000__step_00078200,53,29,24,O-Zn
1565,set_000__step_00078300,set_000__step_00078250,40,24,16,O-Zn
1566,set_000__step_00078350,set_000__step_00078300,46,19,27,O-Zn
1567,set_000__step_00078400,set_000__step_00078350,47,19,28,O-Zn
1568,set_000__step_00078450,set_000__step_00078400,49,27,22,O-Zn
1569,set_000__step_00078500,set_000__step_00078450,48,25,23,O-Zn
1570,set_000__step_00078550,set_000__step_00078500,56,29,27,O-Zn
1571,set_000__step_00078600,set_000__step_00078550,39,20,19,O-Zn
1572,set_000__step_00078650,set_000__step_00078600,49,27,22,O-Zn
1573,set_000__step_00078700,set_000__step_00078650,38,22,16,O-Zn
1574,set_000__step_00078750,set_000__step_00078700,38,20,18,O-Zn
1575,set_000__step_00078800,set_000__step_00078750,50,15,35,O-Zn
1576,set_000__step_00078850,set_000__step_00078800,58,29,29,O-Zn
1577,set_000__step_00078900,set_000__step_00078850,52,28,24,O-Zn
1578,set_000__step_00078950,set_000__step_00078900,49,23,26,O-Zn
1579,set_000__step_00079000,set_000__step_00078950,59,30,29,O-Zn
1580,set_000__step_00079050,set_000__step_00079000,59,34,25,O-Zn
1581,set_000__step_00079100,set_000__step_00079050,55,21,34,O-Zn
1582,set_000__step_00079150,set_000__step_00079100,67,34,33,O-Zn
1583,set_000__step_00079200,set_000__step_00079150,37,22,15,O-Zn
1584,set_000__step_00079250,set_000__step_00079200,59,29,30,O-Zn
1585,set_000__step_00079300,set_000__step_00079250,41,20,21,O-Zn
1586,set_000__step_00079350,set_000__step_00079300,58,30,28,O-Zn
1587,set_000__step_00079400,set_000__step_00079350,52,25,27,O-Zn
1588,set_000__step_00079450,set_000__step_00079400,59,30,29,O-Zn
1589,set_000__step_00079500,set_000__step_00079450,64,32,32,O-Zn
1590,set_000__step_00079550,set_000__step_00079500,51,27,24,O-Zn
1591,set_000__step_00079600,set_000__step_00079550,58,23,35,O-Zn
1592,set_000__step_00079650,set_000__step_00079600,56,34,22,O-Zn
1593,set_000__step_00079700,set_000__step_00079650,53,26,27,O-Zn
1594,set_000__step_00079750,set_000__step_00079700,59,28,31,O-Zn
1595,set_000__step_00079800,set_000__step_00079750,45,21,24,O-Zn
1596,set_000__step_00079850,set_000__step_00079800,59,32,27,O-Zn
1597,set_000__step_00079900,set_000__step_00079850,48,24,24,O-Zn
1598,set_000__step_00079950,set_000__step_00079900,53,26,27,O-Zn
1599,set_000__step_00080000,set_000__step_00079950,50,25,25,O-Zn
1600,set_000__step_00080050,set_000__step_00080000,54,26,28,O-Zn
1601,set_000__step_00080100,set_000__step_00080050,62,31,31,O-Zn
1602,set_000__step_00080150,set_000__step_00080100,51,28,23,O-Zn
1603,set_000__step_00080200,set_000__step_00080150,56,26,30,O-Zn
1604,set_000__step_00080250,set_000__step_00080200,56,23,33,O-Zn
1605,set_000__step_00080300,set_000__step_00080250,50,35,15,O-Zn
1606,set_000__step_00080350,set_000__step_00080300,49,22,27,O-Zn
1607,set_000__step_00080400,set_000__step_00080350,48,27,21,O-Zn
1608,set_000__step_00080450,set_000__step_00080400,54,23,31,O-Zn
1609,set_000__step_00080500,set_000__step_00080450,48,21,27,O-Zn
1610,set_000__step_00080550,set_000__step_00080500,49,28,21,O-Zn
1611,set_000__step_00080600,set_000__step_00080550,51,23,28,O-Zn
1612,set_000__step_00080650,set_000__step_00080600,49,25,24,O-Zn
1613,set_000__step_00080700,set_000__step_00080650,60,30,30,O-Zn
1614,set_000__step_00080750,set_000__step_00080700,48,26,22,O-Zn
1615,set_000__step_00080800,set_000__step_00080750,54,21,33,O-Zn
1616,set_000__step_00080850,set_000__step_00080800,69,35,34,O-Zn
1617,set_000__step_00080900,set_000__step_00080850,60,33,27,O-Zn
1618,set_000__step_00080950,set_000__step_00080900,59,27,32,O-Zn
1619,set_000__step_00081000,set_000__step_00080950,47,25,22,O-Zn
1620,set_000__step_00081050,set_000__step_00081000,48,29,19,O-Zn
1621,set_000__step_00081100,set_000__step_00081050,51,24,27,O-Zn
