atom_index,symbol,group
908,Zn,surface
909,Zn,surface
910,Zn,surface
911,Zn,surface
912,Zn,surface
913,Zn,surface
914,O,surface
915,O,surface
916,O,surface
917,O,surface
918,O,surface
919,O,surface
920,Zn,surface
921,Zn,surface
922,Zn,surface
923,Zn,surface
924,O,surface
925,O,surface
926,O,surface
927,O,surface
928,Zn,surface
929,Zn,surface
930,Zn,surface
931,Zn,surface
932,Zn,surface
933,Zn,surface
934,O,surface
935,O,surface
936,O,surface
937,O,surface
938,O,surface
939,O,surface
940,Zn,surface
941,Zn,surface
942,Zn,surface
943,Zn,surface
944,O,surface
945,O,surface
946,O,surface
947,O,surface
948,Zn,surface
949,Zn,surface
950,Zn,surface
951,Zn,surface
952,Zn,surface
953,Zn,surface
954,O,surface
955,O,surface
956,O,surface
957,O,surface
958,O,surface
959,O,surface
960,H,organic
961,C,organic
962,H,organic
963,H,organic
964,C,organic
965,H,organic
966,H,organic
967,C,organic
968,C,organic
969,O,organic
970,C,organic
971,H,organic
972,H,organic
973,C,organic
974,H,organic
975,H,organic
976,C,organic
977,H,organic
978,H,organic
979,C,organic
980,H,organic
981,H,organic
982,C,organic
983,H,organic
984,H,organic
985,H,organic
986,H,organic
987,H,organic
988,O,water
989,H,water
990,H,water
991,O,water
992,H,water
993,H,water
994,O,water
995,H,water
996,H,water
997,O,water
998,H,water
999,H,water
1000,O,water
1001,H,water
1002,H,water
1003,O,water
1004,H,water
1005,H,water
1006,O,water
1007,H,water
1008,H,water
1009,O,water
1010,H,water
1011,H,water
1012,O,water
1013,H,water
1014,H,water
1015,O,water
1016,H,water
1017,H,water
1018,O,water
1019,H,water
1020,H,water
1021,O,water
1022,H,water
1023,H,water
1024,O,water
1025,H,water
1026,H,water
1027,O,water
1028,H,water
1029,H,water
1030,O,water
1031,H,water
1032,H,water
1033,O,water
1034,H,water
1035,H,water
1036,O,water
1037,H,water
1038,H,water
1039,O,water
1040,H,water
1041,H,water
1042,O,water
1043,H,water
1044,H,water
1045,O,water
1046,H,water
1047,H,water
1048,O,water
1049,H,water
1050,H,water
1051,O,water
1052,H,water
1053,H,water
1054,O,water
1055,H,water
1056,H,water
1057,O,water
1058,H,water
1059,H,water
