frame_index,frame_label,previous_frame_label,organic-surface,water-surface,organic-water
1069,set_000__step_00053500,set_000__step_00053450,0,7,0
1070,set_000__step_00053550,set_000__step_00053500,0,10,0
1071,set_000__step_00053600,set_000__step_00053550,0,10,0
1072,set_000__step_00053650,set_000__step_00053600,0,4,0
1073,set_000__step_00053700,set_000__step_00053650,0,5,0
1074,set_000__step_00053750,set_000__step_00053700,0,5,0
1075,set_000__step_00053800,set_000__step_00053750,0,4,0
1076,set_000__step_00053850,set_000__step_00053800,0,5,0
1077,set_000__step_00053900,set_000__step_00053850,0,3,0
1078,set_000__step_00053950,set_000__step_00053900,0,3,0
1079,set_000__step_00054000,set_000__step_00053950,0,3,0
1080,set_000__step_00054050,set_000__step_00054000,0,3,0
1081,set_000__step_00054100,set_000__step_00054050,0,5,0
1082,set_000__step_00054150,set_000__step_00054100,0,6,0
1083,set_000__step_00054200,set_000__step_00054150,0,6,0
1084,set_000__step_00054250,set_000__step_00054200,0,7,0
1085,set_000__step_00054300,set_000__step_00054250,0,5,0
1086,set_000__step_00054350,set_000__step_00054300,0,8,0
1087,set_000__step_00054400,set_000__step_00054350,0,8,0
1088,set_000__step_00054450,set_000__step_00054400,0,6,0
1089,set_000__step_00054500,set_000__step_00054450,0,4,0
1090,set_000__step_00054550,set_000__step_00054500,0,4,0
1091,set_000__step_00054600,set_000__step_00054550,0,7,0
1092,set_000__step_00054650,set_000__step_00054600,0,5,0
1093,set_000__step_00054700,set_000__step_00054650,0,7,0
1094,set_000__step_00054750,set_000__step_00054700,0,5,0
1095,set_000__step_00054800,set_000__step_00054750,0,4,0
1096,set_000__step_00054850,set_000__step_00054800,0,10,0
1097,set_000__step_00054900,set_000__step_00054850,0,8,0
1098,set_000__step_00054950,set_000__step_00054900,0,5,0
1099,set_000__step_00055000,set_000__step_00054950,0,5,0
1100,set_000__step_00055050,set_000__step_00055000,0,5,0
1101,set_000__step_00055100,set_000__step_00055050,0,3,0
1102,set_000__step_00055150,set_000__step_00055100,0,4,0
1103,set_000__step_00055200,set_000__step_00055150,0,5,0
1104,set_000__step_00055250,set_000__step_00055200,0,7,0
1105,set_000__step_00055300,set_000__step_00055250,0,6,0
1106,set_000__step_00055350,set_000__step_00055300,0,3,0
1107,set_000__step_00055400,set_000__step_00055350,0,3,0
1108,set_000__step_00055450,set_000__step_00055400,0,4,0
1109,set_000__step_00055500,set_000__step_00055450,0,6,0
1110,set_000__step_00055550,set_000__step_00055500,0,6,0
1111,set_000__step_00055600,set_000__step_00055550,0,2,0
1112,set_000__step_00055650,set_000__step_00055600,0,4,0
1113,set_000__step_00055700,set_000__step_00055650,0,5,0
1114,set_000__step_00055750,set_000__step_00055700,0,4,0
1115,set_000__step_00055800,set_000__step_00055750,0,7,0
1116,set_000__step_00055850,set_000__step_00055800,0,4,0
1117,set_000__step_00055900,set_000__step_00055850,0,5,0
1118,set_000__step_00055950,set_000__step_00055900,0,9,0
1119,set_000__step_00056000,set_000__step_00055950,0,6,0
1120,set_000__step_00056050,set_000__step_00056000,0,7,0
1121,set_000__step_00056100,set_000__step_00056050,0,5,0
1122,set_000__step_00056150,set_000__step_00056100,0,7,0
1123,set_000__step_00056200,set_000__step_00056150,0,6,0
1124,set_000__step_00056250,set_000__step_00056200,0,2,0
1125,set_000__step_00056300,set_000__step_00056250,0,5,0
1126,set_000__step_00056350,set_000__step_00056300,0,5,0
1127,set_000__step_00056400,set_000__step_00056350,0,4,0
1128,set_000__step_00056450,set_000__step_00056400,0,4,0
1129,set_000__step_00056500,set_000__step_00056450,0,7,0
1130,set_000__step_00056550,set_000__step_00056500,0,4,0
1131,set_000__step_00056600,set_000__step_00056550,0,4,0
1132,set_000__step_00056650,set_000__step_00056600,0,7,0
1133,set_000__step_00056700,set_000__step_00056650,0,6,0
1134,set_000__step_00056750,set_000__step_00056700,0,6,0
1135,set_000__step_00056800,set_000__step_00056750,0,5,0
1136,set_000__step_00056850,set_000__step_00056800,0,3,0
1137,set_000__step_00056900,set_000__step_00056850,0,4,0
1138,set_000__step_00056950,set_000__step_00056900,0,6,0
1139,set_000__step_00057000,set_000__step_00056950,0,5,0
1140,set_000__step_00057050,set_000__step_00057000,0,5,0
1141,set_000__step_00057100,set_000__step_00057050,0,5,0
1142,set_000__step_00057150,set_000__step_00057100,0,7,0
1143,set_000__step_00057200,set_000__step_00057150,0,5,0
1144,set_000__step_00057250,set_000__step_00057200,0,2,0
1145,set_000__step_00057300,set_000__step_00057250,0,7,0
1146,set_000__step_00057350,set_000__step_00057300,0,4,0
1147,set_000__step_00057400,set_000__step_00057350,0,5,0
1148,set_000__step_00057450,set_000__step_00057400,0,5,0
1149,set_000__step_00057500,set_000__step_00057450,0,6,0
1150,set_000__step_00057550,set_000__step_00057500,0,6,0
1151,set_000__step_00057600,set_000__step_00057550,1,6,0
1152,set_000__step_00057650,set_000__step_00057600,0,4,0
1153,set_000__step_00057700,set_000__step_00057650,0,4,0
1154,set_000__step_00057750,set_000__step_00057700,0,8,0
1155,set_000__step_00057800,set_000__step_00057750,0,4,0
1156,set_000__step_00057850,set_000__step_00057800,0,2,0
1157,set_000__step_00057900,set_000__step_00057850,0,8,0
1158,set_000__step_00057950,set_000__step_00057900,0,8,0
1159,set_000__step_00058000,set_000__step_00057950,0,3,0
1160,set_000__step_00058050,set_000__step_00058000,0,6,0
1161,set_000__step_00058100,set_000__step_00058050,0,9,0
1162,set_000__step_00058150,set_000__step_00058100,0,6,0
1163,set_000__step_00058200,set_000__step_00058150,0,7,0
1164,set_000__step_00058250,set_000__step_00058200,0,4,0
1165,set_000__step_00058300,set_000__step_00058250,0,3,0
1166,set_000__step_00058350,set_000__step_00058300,0,7,0
1167,set_000__step_00058400,set_000__step_00058350,0,4,0
1168,set_000__step_00058450,set_000__step_00058400,0,5,0
1169,set_000__step_00058500,set_000__step_00058450,0,4,0
1170,set_000__step_00058550,set_000__step_00058500,0,4,0
1171,set_000__step_00058600,set_000__step_00058550,0,6,0
1172,set_000__step_00058650,set_000__step_00058600,0,8,0
1173,set_000__step_00058700,set_000__step_00058650,0,6,0
1174,set_000__step_00058750,set_000__step_00058700,0,6,0
1175,set_000__step_00058800,set_000__step_00058750,0,7,0
1176,set_000__step_00058850,set_000__step_00058800,0,6,0
1177,set_000__step_00058900,set_000__step_00058850,0,4,0
1178,set_000__step_00058950,set_000__step_00058900,0,4,0
1179,set_000__step_00059000,set_000__step_00058950,0,5,0
1180,set_000__step_00059050,set_000__step_00059000,0,3,0
1181,set_000__step_00059100,set_000__step_00059050,0,4,0
1182,set_000__step_00059150,set_000__step_00059100,0,3,0
1183,set_000__step_00059200,set_000__step_00059150,0,4,0
1184,set_000__step_00059250,set_000__step_00059200,0,7,0
1185,set_000__step_00059300,set_000__step_00059250,0,3,0
1186,set_000__step_00059350,set_000__step_00059300,0,4,0
1187,set_000__step_00059400,set_000__step_00059350,0,4,0
1188,set_000__step_00059450,set_000__step_00059400,0,3,0
1189,set_000__step_00059500,set_000__step_00059450,0,7,0
1190,set_000__step_00059550,set_000__step_00059500,0,6,0
1191,set_000__step_00059600,set_000__step_00059550,0,6,0
1192,set_000__step_00059650,set_000__step_00059600,0,4,0
1193,set_000__step_00059700,set_000__step_00059650,0,11,0
1194,set_000__step_00059750,set_000__step_00059700,0,8,0
1195,set_000__step_00059800,set_000__step_00059750,0,9,0
1196,set_000__step_00059850,set_000__step_00059800,0,3,0
1197,set_000__step_00059900,set_000__step_00059850,0,9,0
1198,set_000__step_00059950,set_000__step_00059900,0,7,0
1199,set_000__step_00060000,set_000__step_00059950,0,7,0
1200,set_000__step_00060050,set_000__step_00060000,0,6,0
1201,set_000__step_00060100,set_000__step_00060050,0,10,0
1202,set_000__step_00060150,set_000__step_00060100,0,6,0
1203,set_000__step_00060200,set_000__step_00060150,0,5,0
1204,set_000__step_00060250,set_000__step_00060200,0,8,0
1205,set_000__step_00060300,set_000__step_00060250,0,2,0
1206,set_000__step_00060350,set_000__step_00060300,0,6,0
1207,set_000__step_00060400,set_000__step_00060350,0,8,0
