frame_index,frame_label,previous_frame_label,event_type,atom_i,atom_j,symbol_i,symbol_j,pair,distance_broken,distance_formed
3214,set_001__step_00160750,set_001__step_00160700,broken,139,961,O,C,C-O,1.354134,
3215,set_001__step_00160800,set_001__step_00160750,formed,139,961,O,C,C-O,,1.398074
3307,set_001__step_00165400,set_001__step_00165350,broken,139,961,O,C,C-O,1.442873,
3308,set_001__step_00165450,set_001__step_00165400,formed,139,961,O,C,C-O,,1.476337
3318,set_001__step_00165950,set_001__step_00165900,broken,139,961,O,C,C-O,1.419775,
3319,set_001__step_00166000,set_001__step_00165950,formed,139,961,O,C,C-O,,1.445128
3320,set_001__step_00166050,set_001__step_00166000,broken,139,961,O,C,C-O,1.445128,
3321,set_001__step_00166100,set_001__step_00166050,formed,139,961,O,C,C-O,,1.416905
3352,set_001__step_00167650,set_001__step_00167600,broken,139,961,O,C,C-O,1.383439,
3353,set_001__step_00167700,set_001__step_00167650,formed,139,961,O,C,C-O,,1.397911
3463,set_001__step_00173200,set_001__step_00173150,broken,139,961,O,C,C-O,1.400268,
3464,set_001__step_00173250,set_001__step_00173200,formed,139,961,O,C,C-O,,1.388678
3466,set_001__step_00173350,set_001__step_00173300,broken,139,961,O,C,C-O,1.479529,
3467,set_001__step_00173400,set_001__step_00173350,formed,139,961,O,C,C-O,,1.382544
3468,set_001__step_00173450,set_001__step_00173400,broken,139,961,O,C,C-O,1.382544,
3469,set_001__step_00173500,set_001__step_00173450,formed,139,961,O,C,C-O,,1.477350
3478,set_001__step_00173950,set_001__step_00173900,broken,139,961,O,C,C-O,1.521279,
3479,set_001__step_00174000,set_001__step_00173950,formed,139,961,O,C,C-O,,1.472481
3532,set_001__step_00176650,set_001__step_00176600,broken,139,961,O,C,C-O,1.420640,
3533,set_001__step_00176700,set_001__step_00176650,formed,139,961,O,C,C-O,,1.356651
3536,set_001__step_00176850,set_001__step_00176800,broken,139,961,O,C,C-O,1.453727,
3537,set_001__step_00176900,set_001__step_00176850,formed,139,961,O,C,C-O,,1.452655
3557,set_001__step_00177900,set_001__step_00177850,broken,139,961,O,C,C-O,1.402552,
3558,set_001__step_00177950,set_001__step_00177900,formed,139,961,O,C,C-O,,1.401618
3588,set_001__step_00179450,set_001__step_00179400,broken,139,961,O,C,C-O,1.548236,
3589,set_001__step_00179500,set_001__step_00179450,formed,139,961,O,C,C-O,,1.392863
3593,set_001__step_00179700,set_001__step_00179650,broken,139,961,O,C,C-O,1.487146,
3594,set_001__step_00179750,set_001__step_00179700,formed,139,961,O,C,C-O,,1.419069
3630,set_001__step_00181550,set_001__step_00181500,broken,139,961,O,C,C-O,1.395951,
3631,set_001__step_00181600,set_001__step_00181550,formed,139,961,O,C,C-O,,1.415618
3648,set_001__step_00182450,set_001__step_00182400,broken,139,961,O,C,C-O,1.472479,
3649,set_001__step_00182500,set_001__step_00182450,formed,139,961,O,C,C-O,,1.400663
3682,set_001__step_00184150,set_001__step_00184100,broken,139,961,O,C,C-O,1.364934,
3683,set_001__step_00184200,set_001__step_00184150,formed,139,961,O,C,C-O,,1.452788
3691,set_001__step_00184600,set_001__step_00184550,broken,139,961,O,C,C-O,1.516639,
3692,set_001__step_00184650,set_001__step_00184600,formed,139,961,O,C,C-O,,1.322451
3693,set_001__step_00184700,set_001__step_00184650,broken,139,961,O,C,C-O,1.322451,
3694,set_001__step_00184750,set_001__step_00184700,formed,139,961,O,C,C-O,,1.364436
3706,set_001__step_00185350,set_001__step_00185300,broken,139,961,O,C,C-O,1.400877,
3707,set_001__step_00185400,set_001__step_00185350,formed,139,961,O,C,C-O,,1.417011
3721,set_001__step_00186100,set_001__step_00186050,broken,139,961,O,C,C-O,1.351515,
3722,set_001__step_00186150,set_001__step_00186100,formed,139,961,O,C,C-O,,1.477750
3754,set_001__step_00187750,set_001__step_00187700,broken,139,961,O,C,C-O,1.449281,
3755,set_001__step_00187800,set_001__step_00187750,formed,139,961,O,C,C-O,,1.390460
3756,set_001__step_00187850,set_001__step_00187800,broken,139,961,O,C,C-O,1.390460,
3757,set_001__step_00187900,set_001__step_00187850,formed,139,961,O,C,C-O,,1.349014
3758,set_001__step_00187950,set_001__step_00187900,broken,139,961,O,C,C-O,1.349014,
3759,set_001__step_00188000,set_001__step_00187950,formed,139,961,O,C,C-O,,1.432042
3764,set_001__step_00188250,set_001__step_00188200,broken,139,961,O,C,C-O,1.397200,
3765,set_001__step_00188300,set_001__step_00188250,formed,139,961,O,C,C-O,,1.334754
3766,set_001__step_00188350,set_001__step_00188300,broken,139,961,O,C,C-O,1.334754,
3767,set_001__step_00188400,set_001__step_00188350,formed,139,961,O,C,C-O,,1.421243
3795,set_001__step_00189800,set_001__step_00189750,broken,139,961,O,C,C-O,1.463814,
3796,set_001__step_00189850,set_001__step_00189800,formed,139,961,O,C,C-O,,1.340450
3827,set_001__step_00191400,set_001__step_00191350,broken,139,961,O,C,C-O,1.427307,
3828,set_001__step_00191450,set_001__step_00191400,formed,139,961,O,C,C-O,,1.450924
