frame_index,frame_label,previous_frame_label,interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed
33,set_000__step_00016550,set_000__step_00016050,water-surface,broken,693,1012,surface,water,Zn,O,O-Zn,2.031710,
33,set_000__step_00016550,set_000__step_00016050,organic-surface,broken,773,969,surface,organic,Zn,O,O-Zn,2.181391,
34,set_000__step_00017050,set_000__step_00016550,water-surface,formed,419,1016,surface,water,O,H,H-O,,1.213955
34,set_000__step_00017050,set_000__step_00016550,water-surface,formed,693,1012,surface,water,Zn,O,O-Zn,,2.091513
34,set_000__step_00017050,set_000__step_00016550,water-surface,formed,734,1008,surface,water,O,H,H-O,,1.162972
34,set_000__step_00017050,set_000__step_00016550,organic-surface,formed,773,969,surface,organic,Zn,O,O-Zn,,2.168441
34,set_000__step_00017050,set_000__step_00016550,water-surface,formed,959,1022,surface,water,O,H,H-O,,1.230307
34,set_000__step_00017050,set_000__step_00016550,water-surface,broken,59,1050,surface,water,O,H,H-O,0.929493,
34,set_000__step_00017050,set_000__step_00016550,water-surface,broken,839,1053,surface,water,O,H,H-O,1.097296,
35,set_000__step_00017550,set_000__step_00017050,water-surface,broken,193,1036,surface,water,Zn,O,O-Zn,2.094873,
35,set_000__step_00017550,set_000__step_00017050,water-surface,broken,368,1045,surface,water,Zn,O,O-Zn,2.153253,
35,set_000__step_00017550,set_000__step_00017050,water-surface,broken,419,1016,surface,water,O,H,H-O,1.213955,
35,set_000__step_00017550,set_000__step_00017050,water-surface,broken,693,1012,surface,water,Zn,O,O-Zn,2.091513,
35,set_000__step_00017550,set_000__step_00017050,water-surface,broken,734,1008,surface,water,O,H,H-O,1.162972,
35,set_000__step_00017550,set_000__step_00017050,water-surface,broken,879,1038,surface,water,O,H,H-O,1.135262,
35,set_000__step_00017550,set_000__step_00017050,water-surface,broken,959,1022,surface,water,O,H,H-O,1.230307,
36,set_000__step_00018050,set_000__step_00017550,water-surface,formed,193,1036,surface,water,Zn,O,O-Zn,,1.965302
36,set_000__step_00018050,set_000__step_00017550,water-surface,formed,693,1012,surface,water,Zn,O,O-Zn,,2.145171
36,set_000__step_00018050,set_000__step_00017550,water-surface,formed,839,1053,surface,water,O,H,H-O,,1.117698
